Label,Tweets
2,Shake Shack near the museum would probably be right up your alley.
2,"I hate to burst your bubble, but the day you have planned is totally unrealistic. It will take 4-5 hrs. minimum to tour SOL/Ellis Island and by then you'll be exhausted. Your best bet is probably to eat at Ellis Island or near Battery Park on your return and forget about the museum. Gigino's Wagner Park is an Italian rest. with views of the Statue. They also have a kids' menu.  menupages.com/restaurants/gigino-wagner-park/    Maybe the kids will be interested in going to the park after lunch, but I'd suggest doing something else downtown in the afternoon. Maybe head over to the lower east side to the Tenement Museum and then to Economy Candy."
1,"NYWhiz makes a good point, as always. Also, have you booked your tickets for the SOL and Ellis Island yet? Crown tickets are very hard to get unless you book far in advance."
2,Another recent addition to that area is Inatteso on West Street--- It is an upscale pizza place and owned by the same people as Adrienne's on Stone street that always gets good grades. I have been thoroughly disappointed in Gigino's the last few times there even though if you sit outside having the SOL in your sites is pretty cool. One other suggestion would be Zetuna's which is more like you described but no pizza--
2,The Irish Hunger Memorial is pretty nearby as well if you think you and your family would find that interesting:    en.wikipedia.org/wiki/Irish_Hunger_Memorial    nymag.com/listings/
0,"Wow! Thanks for the quick responses. Yes, we knew to get our crown tickets already, thanks to many months of lurking on this forum. We secured our tickets back in June and I am very glad.     The Tenement Museum and Economy Candy sounds like a great idea too. My kids may not want to see the Natural History museum anyway after 5 days in Washington DC prior to our arrival there. We actually had planned 7 days in DC and I wanted so much to go up to the crown, so we decided to do 5 in DC and 2 in NYC. I will be doing a lot of scouting around to plan a much longer trip in the near future.    Thanks for all the restaurant suggestions. I am so overwhemed by how much NYC has to offer. I will look into all of them."
1,"Do the natural history museum in DC. While I love the AMNH, with your limited time I'd do something different here."
2,"I wouldn't reco Gigino's in Wagner Park if you're looking for a casual place with pizza. It's a gorgeous restaurant with great food and a great view, don't get me wrong, but it doesn't sound like what you're looking for.    Instead, if you're going to eat after the SOL/Ellis, I'd reco P.J. Clarke's or SouthwestNY, which are both in the World Financial Center and more casual.    On the UWS, I always reco Big Nick's Pizza and Burgers for folks with kids, on B'way near 77th Street. It's ain't the prettiest place, but the menu is endless and their burgers are big, juicy and cheap! A real crowd-pleaser.    www.menupages.com/restaurants/big-nicks/    Another good place for kids and adults is Vynl. I personally prefer the original location on 9th Aenue, but the others are fine. Great bathrooms, good food, good cocktails.    www.vynl-nyc.com    NOTE: NO FREE REFILLS ON SODA/POP OR ICED TEA IN NYC!! It's just not customary here. I have no idea 
why; that's just the way it is.    In NYC, it's common to get free refills on our (healthy and tasty) tap water, and on hot coffee or tea. (Yep, no need to waste $$ on bottle water. Bring your own bottle and fill from the tap.)"
2,"In our FAQ "";thumbtack""; at the top of this forum is this collection of nightlife websites.     tripadvisor.com/ShowTopic-g60763-i5-k1277535  Scroll through all the pages and you'll find some good website for door lists, such as VelvetList, Rhythmism and ClubPlanet."
1,"Okay Tannie ..... (gawd bless your soul it's a excruciatingly boring day on the forum, so where would we be without you) ..... now try to follow me with this;   Hmmmm ..... well ..... if you're "";hot""; ..... then wouldn't any place you go by definition be a "";hot new club""; ..... see where I'm going with this one? See ..... pretty cool right ..... or maybe just try Santos House Party    http://www.santospartyhouse.com/"
1,actually I mean by that what club is happening as many of them are open and SUCK and there are always a couple that have the good crowds djs ect.
1,And what qualifications can you offer that would allow us to believe that you indeed deserve this special treatment.. I'll give you a hint it needs to be more than you are from Chicago.....
0,Now Tannie ..... you do realize that the weekend you're talking about is Labor Day weekend? A lot of locals are out of town for the last long weekend of summer (btw ..... it's supposed to be nice weather) and school starts like on Tuesday? I would hazard to guess that most places will be fairly deserted except for tourist. The subway this morning was so empty it looked just like New Jersey.  http://www.youtube.com/watch?v=0vVAOrWUcrM
1,any where you travel you can get on a guest list if the promoters what people at their clubs they do it here in chicago...ive gotten on for la and vegas so dont know why it would be hard in NYC
1,"because in LA and Las Vegas, its about the money. Here, its about the exclusivity."
2,Take a few minutes to read the Club articles and reviews on Time Out NY. I would trust them.    http://newyork.timeout.com/section/clubs
1,Come on evening--- no one is more exclusive than you. Help the poor girl out will you.... get her on a few lists.     Tannie- I am working on it for you and I should have confirmation back this evening that you are on the list for Grays Papaya -- a hot new club on 72nd and Broadway. Jusr show up and use evening's name.
2,"unlike some people I dont reply to posts when I dont know the answer. Why I can explain to Tannie why clubs here are not like LA and Las Vegas, I wouldnt begin to suggest where what I'm guessing a 20something year old should go. And, the 20somethings I know would kill me if I gave away their hot spots.    The most exclusive place in NYC right now is across the street from my office and neither Tannie, nor I would be getting in there anytime soon (all my Vanity Fair connections are in ad sales)    And, Bilmin - I was right about Eliot Spitzer too."
1,And all this time evening I thought you were a 20 something ! Let me know when you would like to go to that club--- I'll get you in.     Oh yes Elliot is such a wonderful role model for all   New Yorkers.
0,"all I said was he was getting ready for another election... will leave the moral issues to his wife, and the hookers"
2,they are not best for transportation but for seeing sites - the subway is best for transportation around the city.    Grayline are very popular but very busy
2,"thanks..I know the subway is easier . .but the multiple levels of steps and such are harder on hubby's knees ..and we're hoping to see more of teh "";outer areas""; ..like Chinatown.. and the WTC .. which isnt even on the subway route. I'l have to check grey line out more"
2,"There is a flight of steps to clamber up/down on the HOHO buses so that isn't ideal. How about simply using a City bus (1-day "";fun pass""; Metrocard is just $8.25/person) -- and the free mini-bus shuttle service offered by the Downtown Alliance? Those buses are fully air-conditioned and you need to make only 1 step up/down.  www.downtownny.com/gettingaround/?sid=19  downtownny.com/images/ute_map.html"
2,"Why on earth do you think the WTC and Chinatown are "";outer areas?""; Do you think the thousands of people who worked in the WTC walked to work each day? They are both well served by subways. It's not like the subway only runs in midtown.    City buses will be easier on your husband's knees than HOHO buses - city buses "";kneel""; and the newer ones have essentially no steps inside, just one small step from the curb onto the low bus floor.     And yes, the WTC and Chinatown are both well served by city bus routes as well."
1,"THAT's why I love these forums. . Much cheaper and better option .. .I've printed the "";free shuttle""; ..where can I find a map for the Metro pass?"
0,Great link - thanks
0,"-:- Message from TripAdvisor staff -:-This post has been removed at the author's request. At this time, posts on the TripAdvisor forums cannot be edited, but the author of a post may request that it be removed. This allows the author to repost the message if desired. To review the TripAdvisor Forums Posting Guidelines, please follow this link: http://www.tripadvisor.com/pages/forums_posting_guidelines.htmlRemoved on: 31 August 2009, 16:55"
